LN3928	DS17313	fIntestine_Lg
LN3929	DS17317	fIntestine_Sm
LN3930	DS17319	fAdrenal
LN3935	DS17329	CD4
LN3936	DS17332	CD8
LN3946	DS17381	fKidney_renal_pelvis
LN3947	DS17387	fKidney_renal_cortex
LN3948	DS17391	CD14
LN3956	DS17422	fIntestine_Lg
LN3960	DS17429	fMuscle_leg
LN3961	DS17432	fMuscle_arm
LN3964	DS17440	CD19
LN3967	DS17448	fSpleen
LN3968	DS17451	fKidney_renal_pelvis
LN3969	DS17455	fKidney_renal_cortex
LN3972	DS17462	fIntestine_Lg
LN3973	DS17464	fLung_L
LN4008	DS17522	fKidney
LN4011	DS17534	CD3
LN4013	DS17541	CD20
LN4014	DS17545	fKidney_renal_cortex_R
LN4015	DS17548	fKidney_renal_pelvis_R
LN4016	DS17550	fKidney_renal_cortex_L
LN4017	DS17553	fKidney_renal_pelvis_L
LN4022	DS17592	hTH1
LN4024	DS17597	hTH2
LN4026	DS17603	iTH2
LN4046	DS17639	fPlacenta
LN4047	DS17643	fIntestine_Sm
LN4049	DS17647	fIntestine_Lg
LN4053	DS17659	fStomach
LN4054	DS17661	fMuscle_upper_limb_sk
LN4056	DS17670	fLung_R
LN4057	DS17674	fLung_L
LN4058	DS17677	fAdrenal
LN4061	DS17702	CD3
LN4063	DS17739	fLung_L
LN4064	DS17744	fPlacenta
LN4065	DS17748	fIntestine_Lg
LN4067	DS17753	fKidney
LN4068	DS17756	fKidney_renal_cortex
LN4069	DS17760	fKidney_renal_pelvis
LN4070	DS17763	fIntestine_Sm
LN4072	DS17767	fMuscle_back
LN4074	DS17785	fIntestine_Lg
LN4076	DS17804	fKidney_renal_cortex
LN4077	DS17808	fIntestine_Sm
LN4083	DS17825	fMuscle_arm
LN4084	DS17827	fMuscle_trunk
LN4085	DS17831	fLung_R
LN4086	DS17835	fLung_L
LN4087	DS17841	fIntestine_Lg
LN4088	DS17844	fIntestine_Sm
LN4089	DS17848	fMuscle_arm
LN4090	DS17850	fMuscle_back
LN4094	DS17875	fThymus
LN4095	DS17876	fThymus
LN4096	DS17878	fStomach
LN4097	DS17881	CD4
LN4099	DS17889	CD14
LN4107	DS17954	fLung_R
LN4108	DS17959	fLung_L
LN4109	DS17963	fStomach
